;companyId;companyName;ticker;price;gestao;dy;percentualcaixa;numerocotistas;patrimonio;p_vp;liquidezmediadiaria;dividend_cagr;cota_cagr
104;668;REAG MULTI ATIVOS IMOBILIÁRIOS;RMAI11;38.09;Passiva;0.0;0.0318;1158.0;269460438.3;0.3455;4748.65;;
105;50;Rio Negro;RNGO11;62.56;Passiva;7.9444;1.5353;15946.0;270865817.47;0.6181;187179.24;-5.2891;-6.7288
106;652;RB Capital Recebíveis Imobiliários;RRCI11;84.98;Ativa;5.2532;0.2184;1928.0;46285089.7;0.8845;174985.49;;
107;728;SEQUOIA III RENDA IMOBILIÁRIA;SEQR11;81.99;Ativa;4.1147;4.6636;1199.0;157879312.0;0.7696;231501.24;;
108;756;SUNO FUNDO DE FUNDOS;SNFF11;100.0;Ativa;0.53;30.5011;27509.0;240192510.51;1.0408;1572170.1;;
109;730;SOLARIUM FII;SOLR11;1220.0;Ativa;3.2147;3.5561;32.0;65455532.6;1.1721;1220.0;;
110;119;SPA Fundo de Investimento Imobiliário – FII;SPAF11;0.0;Ativa;0.0;4.8909;1.0;11316795.08;;;;
111;53;SP Downtown;SPTW11;61.18;Passiva;25.3841;9.3782;18264.0;93568201.37;1.1756;396305.32;29.931;-6.3131
112;600;FUND. INVEST. IMOB. SUCCESPAR VAREJO;SPVJ11;0.0;Ativa;0.0;6.8865;25.0;530245018.49;;;;
113;54;TB Office;TBOF11;15.56;Passiva;0.0;67.6132;9157.0;1243287.32;129.6667;;72.2209;-40.5353
114;706;FDO. INVEST. IMOB. TOURMALET V - ED. CIDADE NOVA;TCIN11;102.11;Ativa;0.0;1.8261;128.0;114824826.95;0.7392;121332.8;;
115;548;TREECORP REAL ESTATE FDO INV IMOB - I;TCPF11;1.26;Ativa;1242.0635;9.9439;52.0;32571309.28;0.0115;;;
116;95;TG Ativo Real;TGAR11;133.0;Ativa;10.5188;37.3191;75147.0;1487042542.65;1.0115;5061145.78;12.1421;
117;55;Cyrela Thera Corporate;THRA11;138.5;Passiva;35.8006;1.9735;2093.0;167617956.8;1.2169;105789.96;91.6402;10.0201
118;589;TORDESILHAS EI FDO. INV. IMOB.;TORD11;10.17;Ativa;13.0064;12.6612;71449.0;368897889.28;0.9667;1339508.93;;
119;515;FDO INV IMOB TOURMALET I;TORM13;833.0;Ativa;5.4566;1.3924;206.0;156286762.31;0.3821;833.0;;
120;516;FDO INV IMOB TOURMALET II;TOUR11;125.48;Ativa;25.5775;5.0645;237.0;105923201.59;0.2249;42759.77;;
121;56;Torre Norte;TRNT11;129.64;Passiva;4.3898;0.4819;758.0;814396085.09;0.6265;20851.63;-8.9214;-11.6542
122;607;URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;URPR11;126.7;Ativa;19.3021;7.7476;10843.0;164441546.42;1.2793;3206969.9;;
123;609;VECTIS JUROS REAL FDO INV. IMOB. - FII;VCJR11;98.47;Ativa;9.0688;20.9687;6754.0;1152165501.35;0.9917;895070.22;;
124;757;VECTIS RENDA RESIDENCIAL;VCRR11;100.0;Ativa;0.67;14.2951;1858.0;195770763.2;1.0216;48046.74;;
125;733;VALORA HEDGE FUND;VGHF11;9.95;Ativa;3.8191;0.9988;7845.0;159232391.41;1.029;730115.44;;
126;590;VALORA CRI ÍNDICE DE PREÇO FDO INVEST. IMOB. FII;VGIP11;102.78;Ativa;11.8408;3.7773;34858.0;632696404.43;1.0759;3273973.17;;
127;71;Votorantim Logística;VTLT11;105.0;Ativa;8.432;1.2464;5533.0;216198975.83;1.0272;319968.73;0.0508;
128;758;VOTORANTIM SECURITIES III;VTRT11;0.0;Ativa;0.0;20.1365;499.0;1030654046.2;;;;
129;722;PARKING PARTNERS FDO. INVEST. IMOB.;VTVI11;0.0;Ativa;0.0;11.2107;1.0;68349478.94;;;;
130;708;FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII;VTXI11;0.0;Ativa;0.0;22.5347;2.0;3411510.35;;;;
